player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
13504,Mateusz Zytko,2186,110747,Cracovia,Cracovia,Poland,Poland Ekstraklasa,2014/2015,50000
323380,Matheus,7842,10020,Estoril Praia,Estoril Praia,Portugal,Portugal Liga ZON Sagres,2015/2016,750000
267008,Matheus Carvalho,9829,69,AS Monaco,AS Monaco,France,France Ligue 1,2014/2015,500000
320686,Matheus Doria,7878,110832,Granada CF,Granada CF,Spain,Spain LIGA BBVA,2015/2016,2500000
522651,Matheus Pereira,9768,237,Sporting CP,Sporting CP,Portugal,Portugal Liga ZON Sagres,2015/2016,2500000
305712,Matheuzinho,7842,10020,Estoril Praia,Estoril Praia,Portugal,Portugal Liga ZON Sagres,2015/2016,200000
185644,Mathew Ryan,10267,461,Valencia CF,Valencia CF,Spain,Spain LIGA BBVA,2015/2016,4000000
244278,Mathias Gehrt,10217,650,ADO Den Haag,ADO Den Haag,Netherlands,Netherlands Eredivisie,2014/2015,300000
215931,Mathias Pogba,8426,1754,Partick Thistle F.C.,Partick Thistle F.C.,Scotland,Scotland Premier League,2015/2016,125000
365244,Mathias Schils,9997,680,Sint-Truidense VV,Sint-Truidense VV,Belgium,Belgium Jupiler League,2015/2016,350000
26155,Mathieu Bodmer,9831,72,OGC Nice,OGC Nice,France,France Ligue 1,2015/2016,1000000
40685,Mathieu Coutadeur,8689,217,FC Lorient,FC Lorient,France,France Ligue 1,2014/2015,600000
26154,Mathieu Debuchy,9827,59,Girondins de Bordeaux,Girondins de Bordeaux,France,France Ligue 1,2015/2016,7500000
229855,Mathieu Deplagne,10249,70,Montpellier Hérault SC,Montpellier Hérault SC,France,France Ligue 1,2015/2016,1500000
111787,Mathieu Dossevi,9985,232,Standard de Liège,Standard de Liège,Belgium,Belgium Jupiler League,2015/2016,4500000
94324,Mathieu Dreyer,10242,294,ES Troyes AC,ES Troyes AC,France,France Ligue 1,2015/2016,400000
